IHID,ProgramID,ProgramName,GovernmentName,GovernmentType,CensusID,Census Type,AddressStreet,City,County,State,name,Government Address: Zip,Program Applicable Areas,Year Program Adopted,Year Program Updated,3rd Party Managing Entity,Data Entry Year,Unit- vs. Fee-based Program?,Program Type and Development Type,Program Type,Development Type,(Ownership) Resale Restriction Exists?,(Ownership) Resale Formula Exists?,(Rental) Rent restriction Exists?,(Rental) Rent restriction Exists?,(Rental) Compliance Monitoring Exists?,(Rental) Timing of Income Certification,(Rental) Noncompliance Remedies/Enforcement,"""Right of 1st Refusal"" Exists?",Incentive,Affordable Housing Compliance Option,Minimum Project Size,Minimum Set-aside,Any Set-aside Requirement At 20% Or More?,Highest Income Served,Lowest Income Served,(Rental) Income Requirement Type,(Rental) Single Income Requirement Detail,(Rental) Multiple Tiers of Income Targeting Detail,(Ownership) Income Requirement Type,(Ownership) Single Income Requirement Detail,(Ownership) Multiple Tiers of Income Targeting Detail,(Rental) Term of Affordability,(Rental) Affordability Term Restart?,(Ownership) Term of Affordability,(Ownership) Affordability Term Restart?,TotalAffordableRentalUnits,TotalAffordableOwnershipUnits,TotalAffordableUnits,In-Lieu Fees,Program Type,Commercial Development Type,Office Development Fee Rate,Industrial Development Fee Rate,Retail/Service Development Fee Rate,Hotel Development Fee Rate,R&D Fee Rate,Commercial Development Exemptions,Residential Development Type,Rental Fee Rate,Single Family For-Sale Fee Rate,Multifamily For-Sale Fee Rate,Townhouse For-Sale Fee Rate,Alternative Compliance Option,Fee Amount - Residential Development,Fees Amount - Commercial Development,Total Affordable Units
541,"Town of Westport, MA: Article 13 Inclusionary Housing",Article 13 Inclusionary Housing,Town of Westport,Town or city,0600000US2500577570,County Subdivision,"816 Main Street, Westport, MA 02790",Westport,Bristol,MA,Massachusetts,2790,Entire jurisdiction,2005,2010,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,"On-site units, off-site units, rehab regulated units, in-lieu fee, donate land, other",10 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,$0 ,,,,,,,,,,,,,,,,,
546,"Town of Wilmington, MA: Section 6.11 Inclusionary Housing",Section 6.11 Inclusionary Housing,Town of Wilmington,Town or city,0600000US2501780230,County Subdivision,"121 Glen Road, Wilmington, MA 01887",Wilmington,Middlesex,MA,Massachusetts,1887,"Certain zones, neighborhoods, or districts",2019,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,"On-site units, off-site units, renovate unregulated units",6 units,15% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
547,"Town of Wilmington, MA: Section 9 Over 55 Housing District, Subsection 9.8","Section 9 Over 55 Housing District, Subsection 9.8",Town of Wilmington,Town or city,0600000US2501780230,County Subdivision,"121 Glen Road, Wilmington, MA 01887",Wilmington,Middlesex,MA,Massachusetts,1887,"Certain zones, neighborhoods, or districts",2003,2019,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,On-site units,,15% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
548,"Town of Winchendon, MA: Section 4.2 Mill Conversion Overlay District",Section 4.2 Mill Conversion Overlay District,Town of Winchendon,Town or city,0600000US2502780405,County Subdivision,"109 Front Street, Dept. 11, Winchendon, MA 01475",Winchendon,Worcester,MA,Massachusetts,1475,"Certain zones, neighborhoods, or districts",1995,2018,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,On-site units,,20% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
549,"Town of Winchester, MA: 6.4 Inclusionary Housing in the GBD-1 and 2",6.4 Inclusionary Housing in the GBD-1 and 2,Town of Winchester,Town or city,0600000US2501780510,County Subdivision,"71 Mount Vernon Stret, Winchester, MA 01890",Winchester,Middlesex,MA,Massachusetts,1890,"Certain zones, neighborhoods, or districts",2019,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,"Density bonus, other zoning variance","On-site units, off-site units, in-lieu fee",6 units,10% of total project units. And the set-aside requirement varies.,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,$0 ,,,,,,,,,,,,,,,,,
550,"Town of Winchester, MA: 7.3.19 Inclusionary Housing in the CBD",7.3.19 Inclusionary Housing in the CBD,Town of Winchester,Town or city,0600000US2501780510,County Subdivision,"71 Mount Vernon Stret, Winchester, MA 01890",Winchester,Middlesex,MA,Massachusetts,1890,"Certain zones, neighborhoods, or districts",2015,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,"Density bonus, other zoning variance","On-site units, off-site units, in-lieu fee",6 units,10% of total project units. And the set-aside requirement varies.,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,2,2,$0 ,,,,,,,,,,,,,,,,,
553,"Town of Yarmouth, MA: Section 412.2 Inclusionary Zoning",Section 412.2 Inclusionary Zoning,Town of Yarmouth,Town or city,0600000US2500182525,County Subdivision,"1146 Route 28, Yarmouth, MA 02664",Yarmouth,Barnstable,MA,Massachusetts,2664,Entire jurisdiction,2009,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,"On-site units, off-site units, in-lieu fee",5 units,11% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,$1 ,,,,,,,,,,,,,,,,,
570,"Minneapolis, MN: Inclusionary Zoning",Inclusionary Zoning,Minneapolis,Town or city,1600000US2743000,Place,"105 5th Ave S, Suite 200, Minneapolis, MN 55415",Minneapolis,Hennepin,MN,Minnesota,55415,"Certain zones, neighborhoods, or districts",2018,2019,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,,,Yes,Yes,Every time a new tenant moves in and annually,,No,Direct subsidy/TIF,"On-site units, off-site units, rehab regulated units, in-lieu fee, donate land",20 units,8% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Multiple options of income targeting requirement,,,Single income targeting requirement,0 - 80% AMI,, 20 years,, 20 years,,0,0,0,$0 ,,,,,,,,,,,,,,,,,
584,"Durham, NC: Density Bonus Incentives for Affordable Housing",Density Bonus Incentives for Affordable Housing,Durham,Town or city,1600000US3719000,Place,"101 City Hall Plaza, Durham, NC 27701",Durham,North Carolina,NC,North Carolina,27701,Entire jurisdiction,2006,2016,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,"Notice of violation and opportunity to cure, financial penalty, revocation/denial/suspension of permits",No,"Density bonus, other zoning variance",On-site units,15 units,15% of total project units. And the set-aside requirement varies.,Yes,60% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 60% AMI,,30 years,No,30 years,No,0,0,0,,,,,,,,,,,,,,,,,,
598,"Dublin, NH: Workforce Housing Ordinance",Workforce Housing Ordinance,Dublin,Town or city,1600000US0620018,Place,"Planning Board, PO Box 277",Dublin,,NH,New Hampshire,3444,"Certain zones, neighborhoods, or districts",,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,,,,Density bonus,On-site units,,,,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,,,,,0,0,0,,,,,,,,,,,,,,,,,,
602,"Hollis, NH: Workforce Housing",Workforce Housing,Hollis,Town or city,0600000US3301137140,County Subdivision,"Town Hall, 7 Monument Square, Hollis, NH 03049",Hollis,Hillsborough,NH,New Hampshire,3049,"Certain zones, neighborhoods, or districts",2009,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,"Notice of violation and opportunity to cure, financial penalty, injunction/forced compliance",No,None,On-site units,,25% of total project units. And the set-aside requirement varies.,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,20 years,No,20 years,No,0,0,0,,,,,,,,,,,,,,,,,,
603,"Jackson, NH: Affordable Housing",Affordable Housing,Jackson,Town or city,1600000US0636980,Place,"PO Box 268, Jackson, NH 03846",Jackson,Carroll,NH,New Hampshire,3846,Entire jurisdiction,2010,2019,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,,,No,"Density bonus, other zoning variance",On-site units,,25% of total project units,Yes,150% AMI,80% AMI,Multiple tiers of income targeting,,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 25% LI (51-80% AMI), 0% Mod-Income (81-120% AMI), 75% Above Mod-Income (more than 120% AMI)",Multiple tiers of income targeting,,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 25% LI (51-80% AMI), 0% Mod-Income (81-120% AMI), 75% Above Mod-Income (more than 120% AMI)",In perpetuity,,In perpetuity,,0,0,0,,,,,,,,,,,,,,,,,,
607,"Warner, NH: Workforce Housing",Workforce Housing,Warner,Town or city,0600000US3301378580,County Subdivision,"5 East Main Street, PO Box 265, Warner, NH 03278",Warner,Merrimack,NH,New Hampshire,3278,"Certain zones, neighborhoods, or districts",2010,,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in and annually,"Notice of violation and opportunity to cure, financial penalty, injunction/forced compliance, revocation/denial/suspension of permits, land use citation",No,Density bonus,"On-site units, renovate unregulated units",,30% of total project units,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,30 years,No,30 years,No,0,0,0,,,,,,,,,,,,,,,,,,
897,"Santa Fe, NM: Santa Fe Homes Program",Santa Fe Homes Program,Santa Fe,Town or city,1600000US3570500,Place,"PO Box 909, Santa Fe, NM 87504 US",Santa Fe,Santa Fe,NM,New Mexico,87504,Entire jurisdiction,2005,2016,Homewise and the Housing Trust (2 entities),2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,No,Yes,Yes,Yes,There is no monitoring/recertification system,"Notice of violation and opportunity to cure, injunction/forced compliance, revocation/denial/suspension of permits, suspension of titles",Yes,"Density bonus, expedited permitting, fee reduction/waiver, unit concessions","On-site units, off-site units, in-lieu fee, donate land",10 units,20% of total project units. And the set-aside requirement varies.,Yes,100% AMI,100% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,10 years,No,In perpetuity,,0,650,650,"$725,000 ",,,,,,,,,,,,,,,,,
902,"Croton-On-Hudson, NY: Inclusionary Zoning/Affordable Housing",Inclusionary Zoning/Affordable Housing,Croton-On-Hudson,Town or city,1600000US3619213,Place,"1 Van Wyck Street, Croton-On-Hudson, NY 10520",Croton-On-Hudson,Westchester,NY,New York,10520,Entire jurisdiction,2018,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure, injunction/forced compliance",,"Density bonus, other zoning variance, unit concessions",On-site units,10 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,60 - 80% AMI,,Single income targeting requirement,60 - 80% AMI,,50 years,,50 years,,0,0,0,,,,,,,,,,,,,,,,,,
918,"Mamaroneck, NY: Mandatory inclusionary housing for infill development in commercial districts (expected to be adopted by end of August 2019)",Mandatory inclusionary housing for infill development in commercial districts (expected to be adopted by end of August 2019),Mamaroneck,Town or city,1600000US3644831,Place,"123 Mamaroneck Ave, Mamaroneck, NY 10543",Mamaroneck,Westchester,NY,New York,10543,"Certain zones, neighborhoods, or districts",,,Town of Mamaroneck Housing Authority,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in and annually,"Notice of violation and opportunity to cure, financial penalty",No,Other zoning variances,On-site units,5 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,Life of building,,99 years,No,0,0,0,,,,,,,,,,,,,,,,,,
924,"New York, NY: Mandatory Inclusionary Housing",Mandatory Inclusionary Housing,New York,Town or city,1600000US3651000,Place,"100 Gold Street, Suite 5-G3",New York,New York,NY,New York,10038,"Certain zones, neighborhoods, or districts",2016,,Multiple entities referred to as Administering Agents,2020,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,,Yes,Yes,Annually,,,None,"On-site units, off-site units, in-lieu fee, other",,20% of building sqft. And the set-aside requirement varies.,Yes,130% AMI,80% AMI,"Single income targeting requirement, multiple options of income targeting requirement",0 - 130% AMI,,"Single income targeting requirement, multiple options of income targeting requirement",0 - 130% AMI,,In perpetuity,,In perpetuity,,0,2053.00,2053,,,,,,,,,,,,,,,,,,
927,"North Castle, NY: Middle Income Unit Program",Middle Income Unit Program,North Castle,Town or city,0600000US3611951693,County Subdivision,"15 Bedford Road, Armonk, NY 10504",Armonk,Westchester,NY,New York,10504,"Certain zones, neighborhoods, or districts",1994,2014,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,,Yes,Yes,Every 2 years,Injunction/forced compliance,No,Density bonus,"On-site units, off-site units",,,No,,,Single income targeting requirement,Income limits based upon family size/unit size and median salary of full time Town employee,,Single income targeting requirement,Income limits based upon family size/unit size and median salary of full time Town employee,,In perpetuity,,In perpetuity,,0,34,34,,,,,,,,,,,,,,,,,,
933,"Scarsdale, NY: Fair and Affordable Housing CH. 310-107-119 of the Village Code",Fair and Affordable Housing CH. 310-107-119 of the Village Code,Scarsdale,Town or city,1600000US3665431,Place,"1001 Post Road, Scarsdale, NY 10583",Scarsdale,Westchester,NY,New York,10583,Entire jurisdiction,2011,,Westchester County Planning Department,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,,,No,None,On-site units,,10% of total project units,No,80% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 80% AMI,,50 years,No,50 years,No,0,0,0,,,,,,,,,,,,,,,,,,
943,"Ashland, OR: Zone Changes Requiring Affordable Housing",Zone Changes Requiring Affordable Housing,Ashland,Town or city,1600000US4103050,Place,"20 East Main Street, Ashland, OR 97520",Ashland,Jackson,OR,Oregon,97520,Entire jurisdiction,1989,,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure, financial penalty, revocation/denial/suspension of permits, revocation/denial/suspension of incentives granted under the inclusionary program",Yes,Density bonus,On-site units,4 units,25% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Multiple options of income targeting requirement,,,30 years,No,30 years,No,0,8,8,,,,,,,,,,,,,,,,,,
956,"Hopkinton, RI: Municipal Government Subsidy Program for Low and Moderate Income Housing",Municipal Government Subsidy Program for Low and Moderate Income Housing,Hopkinton,Town or city,0600000US4400935380,County Subdivision,"1 Town House Road, Hopkinton, RI 02833",Hopkinton,Washington,RI,Rhode Island,2833,Entire jurisdiction,2006,,Washington County Community Development Corporation,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure, financial penalty",No,"Density bonus, fee reduction/waiver",On-site units,6 units,25% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,No,30 years,No,0,0,0,,,,,,,,,,,,,,,,,,
964,"City of Austin, TX: Downtown Density Bonus",Downtown Density Bonus,City of Austin,Town or city,1600000US4805000,Place,"1000 E 11th Street Suite 200, Austin, TX 78702",Austin,Travis,TX,Texas,78702,"Certain zones, neighborhoods, or districts",2013,2014,third party consultant for long-term monitoring,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes, every three years,Notice of violation and opportunity to cure,Yes,"Density bonus, other zoning variance","On-site units, in-lieu fee",,10% of residential bonus area,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,"Single income targeting requirement, multiple options of income targeting requirement",,,40 years,No,99 years,No,0,0,0,"$1,355,375 ",,,,,,,,,,,,,,,,,
965,"City of Austin, TX: East Riverside Corridor",East Riverside Corridor,City of Austin,Town or city,1600000US4805000,Place,"1000 E 11th Street Suite 200, Austin, TX 78702",Austin,Travis,TX,Texas,78702,"Certain zones, neighborhoods, or districts",2013,,third party consultant for long-term monitoring,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,Notice of violation and opportunity to cure,Yes,"Density bonus, other zoning variance","On-site units, in-lieu fee",,10% of residential bonus area,No,80% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 80% AMI,,40 years,No,99 years,No,0,0,0,$0 ,,,,,,,,,,,,,,,,,
966,"City of Austin, TX: Micro-Unit Density Bonus",Micro-Unit Density Bonus,City of Austin,Town or city,1600000US4805000,Place,"1000 E 11th Street Suite 200, Austin, TX 78702",Austin,Travis,TX,Texas,78702,"Certain zones, neighborhoods, or districts",2014,,third party consultant for long-term monitoring,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,Notice of violation and opportunity to cure,Yes,Other zoning variances,On-site units,,10% of total project units,No,80% AMI,50% AMI,Single income targeting requirement,0 - 50% AMI,,Single income targeting requirement,0 - 80% AMI,,40 years,No,99 years,No,0,0,0,,,,,,,,,,,,,,,,,,
967,"City of Austin, TX: North Burnet Gateway",North Burnet Gateway,City of Austin,Town or city,1600000US4805000,Place,"1000 E 11th Street Suite 200, Austin, TX 78702",Austin,Travis,TX,Texas,78702,"Certain zones, neighborhoods, or districts",2009,,third party consultant for long-term monitoring,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,Notice of violation and opportunity to cure,Yes,"Density bonus, other zoning variance","On-site units, in-lieu fee",,10% of residential bonus area,No,80% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 80% AMI,,40 years,No,99 years,No,0,0,0,"$827,308 ",,,,,,,,,,,,,,,,,
969,"City of Austin, TX: SMART Housing Single-Family Density Bonus",SMART Housing Single-Family Density Bonus,City of Austin,Town or city,1600000US4805000,Place,"1000 E 11th Street Suite 200, Austin, TX 78702",Austin,Travis,TX,Texas,78702,"Certain zones, neighborhoods, or districts",2009,,third party consultant for long-term monitoring,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,Notice of violation and opportunity to cure,Yes,"Density bonus, other zoning variance",On-site units,,10% of total project units,No,60% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Multiple options of income targeting requirement,,,5 years,No,1 year,No,0,0,0,,,,,,,,,,,,,,,,,,
1022,"San Antonio, TX: Affordable Dwelling Units",Affordable Dwelling Units,San Antonio,Town or city,1600000US4865000,Place,100 Military Plaza,San Antonio,Bexar,TX,Texas,78205,Entire jurisdiction,,,,2020,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,No,,Financial penalty,Yes,Density bonus,On-site units,,5% of total project units. And the set-aside requirement varies.,No,80% AMI,50% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,50 years,No,50 years,No,0,0,0,,,,,,,,,,,,,,,,,,
1023,"San Antonio, TX: Center City Housing Incentive Policy (CCHIP)",Center City Housing Incentive Policy (CCHIP),San Antonio,Town or city,1600000US4865000,Place,100 Military Plaza,San Antonio,Bexar,TX,Texas,78205,"Certain zones, neighborhoods, or districts",2012,2018,,2020,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,No,,None,No,"Density bonus, other zoning variance, tax relief/abatement, direct subsidy/TIF",On-site units,,10% of total project units. And the set-aside requirement varies.,Yes,120% AMI,60% AMI,"Single income targeting requirement, multiple tiers of income targeting",0 - 80% AMI,"Level 2 Area, 10% at 60% AMI and 10% at 80% AMI; in Level 3 Area, 20% at 80% AMI; in Level 1 Area, 10% at 80% AMI",Single income targeting requirement,0 - 120% AMI,,15 years,No,5 years,No,0,0,0,,,,,,,,,,,,,,,,,,
1025,"City of Dallas, TX: Mixed Income Housing Development Bonuses",Mixed Income Housing Development Bonuses,City of Dallas,Town or city,1600000US4819000,Place,1500 Marilla Street,Dallas,Dallas,TX,Texas,75201,Entire jurisdiction,2019,,,2020,Traditional Inclusionary Housing,"Voluntary program, rental development only",Voluntary program,Rental only,,,,Yes,Yes,Annually,"Notice of violation and opportunity to cure, financial penalty, extend the mixed-income restrictive covenants term for the period equal to a term of non-compliance",,Density bonus,On-site units,,5% of total project units. And the set-aside requirement varies.,No,100% AMI,60% AMI,,,,,,,20 years,No,,,0,0,0,,,,,,,,,,,,,,,,,,
987,"Bellevue, WA: Downtown Amenity Incentive System",Downtown Amenity Incentive System,Bellevue,Town or city,1600000US5305210,Place,"16225 NE 87th Street, Suite A-3, Redmond, WA 98052",Redmond,King,WA,Washington,98052,"Certain zones, neighborhoods, or districts",2017,,A Regional Coalition for Housing (ARCH),2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,"Notice of violation and opportunity to cure, injunction/forced compliance",Yes,"Density bonus, other zoning variance, fee reduction/waiver",On-site units,,The set-aside requirement varies.,,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,Life of building,,Life of building,,0,0,0,,,,,,,,,,,,,,,,,,
989,"Bothell, WA: Mandatory Affordable Housing",Mandatory Affordable Housing,Bothell,Town or city,1600000US5307380,Place,"16225 NE 87th St, Redmond, WA 98034",Redmond,King,WA,Washington,98034,"Certain zones, neighborhoods, or districts",2018,,A Regional Coalition for Housing (ARCH),2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,"Notice of violation and opportunity to cure, injunction/forced compliance",Yes,"Density bonus, fee reduction/waiver, unit concessions","On-site units, off-site units, in-lieu fee",5 units,10% of total project units,No,80% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 80% AMI,,Life of building,,50 years,No,0,0,0,$0 ,,,,,,,,,,,,,,,,,
993,"City of Everett, WA: Zoning Incentives in Metro Everett area",Zoning Incentives in Metro Everett area,City of Everett,Town or city,1600000US5322640,Place,"2930 Wetmore Avenue Suite 8A, Everett, WA 98201 US",Everett,Snohomish,WA,Washington,98201,"Certain zones, neighborhoods, or districts",2018,,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,No,No,Yes,Yes,,"Notice of violation and opportunity to cure, financial penalty",No,"Density bonus, other zoning variance, expedited permitting","On-site units, off-site units, in-lieu fee",,The set-aside requirement varies.,,80% AMI,80% AMI,Multiple options of income targeting requirement,,,Single income targeting requirement,50 - 80% AMI,,In perpetuity,,In perpetuity,,0,0,0,$0 ,,,,,,,,,,,,,,,,,
995,"City of Seattle, WA: Mandatory Housing Affordability - Commercial (MHA-C)",Mandatory Housing Affordability - Commercial (MHA-C),City of Seattle,Town or city,1600000US5363000,Place,"P.O. Box 94725, Seattle, WA 98124",Seattle,King,WA,Washington,98124,"Certain zones, neighborhoods, or districts",2015,2019,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,,Yes,Yes,Annually,"Notice of violation and opportunity to cure, financial penalty, revocation/denial/suspension of permits",,None,"On-site units, off-site units, in-lieu fee",3 units,5% of building sqft. And the set-aside requirement varies.,,80% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 80% AMI,,75 years,No,50 years,,0,0,0,"$100,000 ",,,,,,,,,,,,,,,,,
1001,"Issaquah, WA: Multifamily Tax Exemption (MFTE)",Multifamily Tax Exemption (MFTE),Issaquah,Town or city,1600000US5333805,Place,"16225 NE 87th Street, Suite A-3, Redmond, WA 98052",Redmond,King,WA,Washington,98052,"Certain zones, neighborhoods, or districts",2017,,A Regional Coalition for Housing (ARCH),2019,Traditional Inclusionary Housing,"Voluntary program, rental development only",Voluntary program,Rental only,,,,Yes,Yes,Annually,"Notice of violation and opportunity to cure, financial penalty, injunction/forced compliance",No,Tax relief/abatement,On-site units,4 units,20% of total project units,Yes,80% AMI,60% AMI,Multiple tiers of income targeting,,15% of units at 60% AMI and 5% of units at 80% AMI.,,,,12 years,No,,,0,,,,,,,,,,,,,,,,,,,,
